58604, 23238, 451939
34206, 100732, 190014
0, 0, 0
413543, 181012, 829020
75458, 142922, 90338
283872, 283872, 283872
344602, 366911, 93226
28834, 169017, 154713
566374, 548993, 134130
754864, 570057, 594311
7689, 46473, 35701
49, 516, 2253
464215, 133454, 106745
552791, 412724, 478347
143246, 105031, 235070
470061, 265029, 223490
966029, 697626, 775931
70502, 26851, 243063
125971, 286034, 188295
66936, 133417, 99146
54500, 54481, 42776
331281, 275000, 531958
580809, 649791, 476581
47470, 280318, 198525
28280, 6942, 1104
222238, 173760, 407439
220024, 117043, 72587
408, 1756, 131
168269, 186018, 13630
553160, 634147, 515222
600912, 349852, 407577
702759, 272591, 543237
595619, 581428, 423640
131187, 124525, 692773
859401, 294782, 276271
377993, 356668, 299601
71095, 468587, 226542
222173, 453469, 656455
691696, 691696, 691696
149436, 35979, 391806
333857, 43622, 376407
303418, 381869, 42708
415096, 183474, 204269
45588, 70694, 4262
103350, 45210, 547937
185146, 784068, 799545
19500, 43123, 15587
262662, 298005, 203763
67820, 72706, 34059
525181, 428643, 120499
778872, 778872, 778872
332239, 20061, 163262
55587, 61324, 24534
207311, 339300, 90537
512352, 586004, 543789
5915, 164004, 373588
34052, 720656, 111699
737198, 135748, 650296
219502, 219502, 219502
209788, 86159, 211405
32461, 9716, 35046
10772, 39093, 81914
3779, 536, 5847
665178, 665178, 665178
158831, 790426, 444244
573209, 383309, 122261
100106, 45553, 93598
100128, 428856, 69041
162916, 1, 1
361826, 45317, 283549
0, 0, 0
646136, 696843, 90571
225567, 773533, 213604
751840, 561714, 678808
1186, 1499, 1796
166279, 14370, 188613
0, 0, 0
244662, 202657, 2489
589048, 589048, 589048
808288, 668597, 258769
504115, 38259, 267119
179011, 55188, 61503
219859, 46742, 10945
338258, 590067, 285312
192505, 238923, 152202
195090, 375645, 226865
18959, 47957, 61364
246085, 472122, 162589
167719, 836915, 495441
480543, 294623, 326816
243642, 243642, 243642
434329, 313145, 670124
686781, 58549, 16005
23200, 23200, 23200
120502, 111651, 100304
361884, 79249, 217403
702987, 161815, 622183
0, 0, 0
161928, 552238, 367443
25665, 147514, 384664
410383, 426609, 402279
761581, 631321, 620733
23166, 14342, 4398
0, 0, 0
268181, 220429, 209014
34146, 878266, 623363
26871, 40241, 101490
177378, 177378, 177378
283523, 475048, 16037
33409, 8512, 59388
0, 0, 0
9848, 55630, 32679
495963, 753196, 814037
421874, 423659, 511230
227131, 733713, 399090
147352, 1003691, 901513
297877, 561391, 594303
406435, 11605, 633658
1, 1, 1
34021, 21229, 13070
500345, 47337, 470789
147650, 185063, 92284
477531, 380570, 22203
212088, 106066, 332732
125034, 352063, 226568
48616, 67710, 113065
265747, 88718, 272024
485382, 485382, 485382
9256, 9919, 1666
481400, 291460, 27858
0, 0, 0
481071, 646785, 8036
473247, 509061, 365321
392089, 196689, 459974
4156, 113171, 144343
770775, 259031, 495347
214721, 28114, 257557
378067, 745414, 445451
0, 0, 0
177002, 238539, 118954
0, 0, 0
275251, 466512, 271998
8455, 233693, 514090
212206, 70610, 116436
252092, 501963, 87599
412219, 229292, 549461
400766, 352539, 383489
184800, 188483, 177522
0, 0, 0
309144, 7392, 138430
52390, 422153, 133284
271234, 613884, 135352
0, 0, 0
305885, 538671, 515030
178069, 105464, 324519
227544, 378532, 131567
0, 0, 0
405137, 449485, 124946
107225, 582918, 378585
698668, 545634, 498890
406332, 257362, 92317
135151, 43172, 148018
982186, 982186, 982186
39158, 36740, 45837
0, 0, 0
594260, 220167, 262052
135699, 222508, 24516
54616, 54616, 54616
384704, 14276, 19943
88893, 22654, 147107
91359, 197034, 58727
993436, 993436, 993436
474611, 36007, 60321
251, 11695, 45549
0, 0, 0
0, 0, 0
92120, 58452, 179774
489207, 210209, 15813
1031266, 1031266, 1031266
671578, 619917, 280562
358514, 809570, 7106
172632, 162219, 106879
218419, 612658, 158533
1141, 452379, 492888
111925, 1797, 109629
603861, 422673, 158650
18382, 9898, 25391
758340, 758340, 758340
25377, 46314, 50421
657559, 20684, 588902
11325, 8419, 36857
316106, 2467, 317496
496526, 383943, 266066
55260, 1393, 323629
39573, 22303, 127404
141736, 544803, 58056
527613, 556146, 595145
613925, 693865, 443900
137338, 166075, 134723
202419, 387156, 267579
251035, 213897, 33925
211744, 217856, 208175
549455, 251667, 428240
0, 0, 0
48322, 264345, 257424
0, 0, 0
424702, 23565, 287967
122323, 423765, 502410
590343, 639446, 65189
248200, 117503, 35519
65578, 77396, 43156
86303, 21965, 175829
0, 0, 0
169766, 111548, 133271
0, 0, 0
450853, 602537, 2610
974436, 974436, 974436
36082, 1, 1
370082, 777120, 794409
286187, 321619, 117507
61063, 53258, 507472
383899, 428331, 445189
12536, 1294, 5876
90954, 144440, 54649
227755, 226527, 57069
0, 0, 0
356827, 116659, 324133
24685, 101767, 27499
176065, 162464, 193811
